gender	race	region	happy	life	sibs	childs	age	educ	paeduc	maeduc	speduc	prestg80	occcat80	tax	usintl	obey	popular	thnkself	workhard	helpoth	hlth1	hlth2	hlth3	hlth4	hlth5	hlth6	hlth7	hlth8	hlth9	work1	work2	work3	work4	work5	work6	work7	work8	work9	prob1	prob2	prob3	prob4
2	1	1	1	2	6	2	59	12	8	98	12	0	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	1	2	0	4	1	60	14	6	6	97	32	2	0	1	4	5	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	1	1	1	2	6	2	77	9	0	0	8	36	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	2	1	2	0	12	2	52	14	8	12	8	51	2	0	1	4	5	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	2	1	1	3	5	1	55	7	98	98	16	42	3	1	0	1	5	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	 	 	 
2	2	1	1	2	2	1	37	14	12	12	97	42	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	3	1	2	0	7	0	45	9	8	99	97	0	 	0	8	1	4	2	3	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	2	1	3	2	4	0	34	12	98	98	98	42	3	8	0	2	4	1	5	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	 	 	 
2	2	1	3	1	7	3	35	9	98	98	9	0	 	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	2	1	2	2	6	1	35	13	8	98	97	0	 	2	0	5	4	2	3	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	7	 	 	 
1	2	1	3	1	7	0	47	12	97	9	97	41	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	2	1	3	0	4	3	24	11	99	99	97	55	1	0	2	4	5	1	2	3	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	 	 	 	 
2	2	1	2	2	5	0	28	12	12	14	11	42	3	1	0	1	5	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	 	 
1	1	1	1	0	1	2	57	19	16	12	12	75	1	0	1	5	3	2	1	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	3	1	1	1	1	2	44	18	15	12	12	65	1	2	0	5	3	2	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	0	7	1	75	14	98	8	97	66	1	0	1	1	5	3	2	4	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	0	0	3	58	16	12	98	97	60	1	0	1	4	5	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	1	1	2	0	2	1	49	13	8	8	12	36	5	0	1	1	5	2	3	4	2	2	2	2	2	1	1	2	2	9	9	9	9	9	1	2	2	2	 	 	 	 
1	1	1	1	0	2	0	22	14	12	99	97	49	2	0	1	5	4	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	1	2	0	3	44	17	18	12	20	52	1	1	0	5	4	1	2	3	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	 	 
1	1	1	2	0	1	2	48	19	15	99	16	75	1	0	1	5	4	1	2	3	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	3	2	4	2	23	12	12	98	12	41	2	1	0	4	5	1	2	3	2	2	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	 	 
1	1	1	1	1	1	0	56	15	97	98	97	51	1	2	0	4	5	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	0	5	0	25	13	8	98	97	39	5	0	1	4	5	2	3	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	2	2	2	0	78	12	99	99	97	45	5	2	0	1	5	2	3	4	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	4	7	 	 
2	1	3	2	1	3	3	37	15	13	14	12	46	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	3	1	0	10	4	60	12	8	98	12	36	5	0	1	3	5	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	1	2	1	0	30	16	16	16	97	46	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	3	2	0	1	0	21	13	97	14	97	50	1	0	1	3	5	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	1	1	0	3	65	13	99	99	97	0	 	2	0	5	4	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	3	3	2	2	2	8	64	11	6	6	12	30	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	3	2	0	6	0	31	18	14	11	16	64	1	0	1	5	4	1	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	2	2	2	3	64	12	8	8	13	40	2	2	0	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7	 	 	 
1	1	3	1	1	1	2	39	18	12	13	16	60	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	3	2	3	1	0	29	16	16	12	97	46	2	1	0	4	5	1	2	3	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	 	 	 
2	1	3	3	2	5	2	57	18	16	18	97	0	 	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	3	2	0	1	0	35	14	12	98	12	44	2	0	1	5	4	1	2	3	1	2	2	2	2	2	2	2	2	9	9	9	9	9	9	9	9	9	 	 	 	 
1	2	3	3	1	8	0	22	15	12	16	97	29	2	1	0	4	3	5	1	2	1	2	2	2	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	 	 	 
1	1	3	1	1	3	0	35	16	12	12	97	51	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	3	2	1	4	0	43	20	16	18	97	64	1	1	0	4	5	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7	 	 	 
2	1	3	1	1	3	2	35	12	12	13	97	48	1	1	0	5	4	1	3	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	2	1	2	3	70	12	12	8	97	20	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	3	3	2	3	2	49	13	12	8	12	39	5	1	0	1	5	4	3	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 
2	3	3	2	2	2	1	21	11	97	16	97	0	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	3	1	0	12	2	34	12	12	12	12	45	2	0	1	4	5	1	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	3	3	3	1	4	1	34	12	12	7	12	36	6	1	0	2	5	3	4	1	1	2	2	2	1	1	1	2	2	1	1	1	1	1	2	2	2	2	4	5	2	 
1	1	3	3	2	2	0	33	13	12	12	97	32	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	3	2	0	6	1	31	16	12	99	16	48	1	0	8	4	5	1	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	3	1	10	2	50	12	7	12	97	44	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	3	3	8	3	3	48	12	6	12	12	39	5	1	0	4	5	1	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	 	 	 
2	1	3	3	0	8	3	46	11	6	99	4	29	6	0	2	4	1	3	5	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	3	2	5	3	36	12	6	6	13	31	6	1	0	4	5	1	3	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	 	 
2	3	3	3	2	4	5	34	11	14	9	6	0	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	3	2	1	4	5	22	13	99	16	9	36	3	2	0	1	5	2	3	4	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	2	 	 
2	2	3	3	0	5	4	71	11	98	99	97	36	6	0	2	1	3	4	5	2	1	2	2	2	2	1	2	2	1	9	9	9	9	9	9	9	9	9	 	 	 	 
2	2	3	1	0	9	8	37	12	11	13	97	0	 	0	1	2	5	4	1	3	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	 	 	 	 
2	2	3	2	1	8	3	67	9	98	98	97	31	3	1	0	2	5	3	4	1	2	2	2	2	2	2	2	2	2	9	9	9	9	9	9	9	9	9	 	 	 	 
1	2	3	1	1	2	2	61	12	98	9	10	26	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	2	3	2	0	0	3	50	14	97	14	97	40	2	0	1	1	5	4	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	3	3	3	2	10	5	49	4	97	3	6	30	6	2	0	4	5	3	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 
2	1	3	3	0	1	3	65	15	97	12	97	65	1	0	2	1	5	3	2	4	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	 	 	 	 
1	2	3	1	1	3	2	39	16	97	12	15	60	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	3	2	0	1	0	80	14	12	10	97	51	2	0	1	2	5	1	3	4	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	 	 	 	 
2	3	3	1	1	5	1	47	15	97	8	97	47	2	1	0	4	5	1	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	2	0	8	3	61	12	8	8	97	32	2	0	1	5	4	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	2	2	2	0	54	14	12	14	97	60	2	3	0	9	9	9	9	9	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	 	 
2	1	3	1	1	4	0	28	16	16	12	97	25	3	1	0	5	4	2	3	1	2	2	2	1	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	 	 
1	1	3	2	0	2	0	59	16	8	8	97	51	1	0	1	1	5	2	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	1	3	2	1	1	0	25	16	16	12	97	42	2	1	0	5	3	1	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 
2	3	3	3	3	3	4	77	11	98	98	98	28	3	1	0	3	2	5	4	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	 	 
2	1	3	2	1	1	0	33	18	97	16	97	51	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	3	2	0	0	0	43	16	12	8	97	30	2	0	1	4	5	1	2	3	1	1	2	2	2	9	9	9	1	2	2	2	2	2	2	2	2	2	 	 	 	 
1	1	3	2	2	2	1	23	12	14	97	97	32	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	3	2	0	7	0	20	11	98	99	12	37	6	0	2	3	4	5	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	3	2	6	4	28	9	11	2	97	53	5	1	0	4	5	3	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	7	 
2	1	3	2	2	1	2	36	10	12	12	97	29	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	3	3	0	2	2	36	12	11	10	97	20	3	0	1	4	5	1	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	2	3	7	4	30	13	18	15	97	40	2	2	0	4	5	1	3	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	 	 
1	1	3	2	2	4	5	44	15	17	12	13	61	1	2	0	4	5	1	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	 	 
2	2	3	2	2	4	0	37	13	6	16	97	60	2	1	0	4	5	1	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 
2	1	3	1	0	11	3	35	12	13	15	16	31	3	0	1	4	5	2	1	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	2	0	4	3	38	12	12	2	16	39	1	0	2	4	3	2	5	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	3	1	0	3	0	24	12	12	12	12	40	2	0	2	4	5	3	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	 	 	 	 
2	1	1	2	0	5	2	38	8	97	8	14	29	2	0	2	2	5	1	3	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	3	2	4	1	58	14	8	8	97	58	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	1	2	0	1	3	31	9	3	8	97	23	6	0	1	4	5	1	2	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	0	6	2	71	8	0	0	97	30	6	0	8	1	5	3	2	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	1	1	1	1	1	2	54	12	12	12	12	51	1	2	0	4	5	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	2	0	2	68	12	8	5	97	46	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	1	2	2	3	2	33	10	97	10	10	54	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	1	2	1	6	0	30	16	18	16	97	57	2	2	0	5	4	1	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	4	 	 	 
1	1	1	2	2	14	8	71	12	97	98	97	32	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	2	1	1	1	3	4	22	11	7	6	97	0	 	2	0	2	5	4	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 
2	2	1	1	1	13	5	72	12	98	6	97	40	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	2	1	2	0	3	1	40	14	97	11	97	32	2	0	1	1	5	4	2	3	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	 	 	 	 
1	2	1	2	1	4	4	43	13	97	4	13	31	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	2	1	3	0	0	4	51	12	12	0	97	24	6	0	2	4	3	5	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	2	1	2	2	5	0	31	13	98	14	97	17	3	2	0	2	5	4	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 
2	3	1	9	9	10	2	56	16	14	16	97	39	2	1	0	9	9	9	9	9	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	2	1	2	1	11	1	85	9	98	98	97	22	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	2	1	3	0	2	3	30	11	12	14	14	30	6	0	2	4	2	5	3	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	1	2	1	3	34	16	97	12	16	66	1	1	0	4	5	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	5	4	 
1	1	1	1	1	1	4	35	15	14	12	16	45	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	2	1	2	0	0	0	25	16	14	97	97	51	1	0	1	5	4	1	2	3	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	 	 	 	 
1	1	1	2	1	7	0	35	16	16	20	97	27	2	2	0	4	5	1	2	3	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	 	 	 
2	1	1	2	0	6	4	42	16	14	15	18	64	1	0	1	5	4	1	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	2	0	0	75	12	8	6	97	41	2	2	0	1	5	2	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 
2	1	1	2	1	4	0	29	16	7	12	16	22	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	1	1	2	0	6	4	60	12	6	8	12	54	5	0	1	1	5	2	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	2	4	1	36	15	97	14	97	65	1	1	0	5	3	1	4	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	 	 	 
2	1	1	1	1	8	1	32	19	12	12	13	43	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	1	2	0	6	1	34	12	13	12	14	59	1	0	1	4	5	1	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	1	3	3	47	14	12	12	18	36	3	1	0	2	4	3	1	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	 	 
2	1	1	2	1	1	3	50	14	14	12	16	39	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	1	1	0	4	3	46	19	10	99	20	43	1	0	1	4	5	1	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	1	1	3	1	6	0	41	14	20	18	97	28	6	2	0	5	4	3	2	1	1	1	2	2	1	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	 	 
2	1	1	3	0	1	0	35	16	16	16	97	25	3	0	1	5	4	1	2	3	1	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	 	 	 	 
2	2	1	1	2	5	3	33	12	11	12	12	43	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	2	1	2	0	4	0	34	12	3	12	97	58	2	0	1	3	5	1	4	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	2	1	2	1	5	2	36	10	98	9	97	36	2	8	0	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	 	 	 
1	2	1	1	1	2	0	26	8	12	98	97	0	 	8	0	4	3	1	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	2	1	9	2	3	7	59	10	4	12	97	28	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
1	2	1	3	0	5	7	41	13	97	12	14	22	3	0	1	3	5	1	2	4	2	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	1	2	2	4	44	16	11	11	97	55	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	1	1	0	1	1	74	12	8	7	97	47	2	0	2	1	5	4	3	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	2	0	1	85	11	8	8	97	51	2	2	0	2	5	3	1	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	1	2	2	71	12	5	3	97	46	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	1	2	1	2	0	27	17	10	11	12	68	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	2	1	2	2	5	7	69	99	97	99	97	29	3	8	0	1	5	3	4	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	7	7	2
2	2	1	3	2	0	1	20	11	97	11	97	22	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	2	1	2	0	11	7	66	14	97	8	97	39	2	0	1	1	5	2	3	4	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	2	1	1	0	0	3	40	13	98	13	16	40	5	0	1	2	5	1	3	4	1	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	0	2	2	35	16	12	12	16	42	2	0	1	2	5	1	4	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	2	1	1	33	16	10	10	17	64	1	1	0	5	4	1	2	3	1	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	 
1	1	1	1	0	5	2	43	15	13	12	11	49	2	0	1	3	5	1	4	2	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	 	 	 	 
2	1	1	2	0	2	3	35	13	97	12	11	46	2	0	1	5	4	1	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	1	1	3	8	3	0	27	12	12	12	12	52	1	1	0	4	5	1	2	3	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	 	 	 
1	1	1	2	2	2	2	24	12	17	14	12	44	2	2	0	4	5	1	3	2	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	 	 	 
1	1	1	1	0	7	1	64	14	98	9	12	47	5	0	2	4	5	2	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
2	1	1	2	1	5	0	70	18	98	6	97	66	1	2	0	4	5	2	3	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	 	 	 
1	1	1	1	1	2	0	42	12	14	14	97	39	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 
2	1	1	3	0	1	2	53	10	98	12	97	49	2	0	1	9	9	9	9	9	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	 	 	 	 
2	1	1	2	0	2	0	36	18	16	16	20	61	1	0	1	5	4	1	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
1	2	1	1	0	3	4	75	12	8	97	12	39	5	0	2	2	5	1	3	4	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	 	 	 	 
